,Statistic,Year,UNIT,VALUE,County_name
437,Persons Killed,2017,Number,4.0,Roscommon
438,Persons Killed,2017,Number,1.0,Sligo
439,Persons Killed,2017,Number,2.0,Cavan
440,Persons Killed,2017,Number,6.0,Donegal
441,Persons Killed,2017,Number,8.0,Monaghan
442,Persons Killed,2018,Number,2.0,Carlow
443,Persons Killed,2018,Number,14.0,Dublin
444,Persons Killed,2018,Number,4.0,Kildare
445,Persons Killed,2018,Number,2.0,Kilkenny
446,Persons Killed,2018,Number,5.0,Laois
447,Persons Killed,2018,Number,3.0,Longford
448,Persons Killed,2018,Number,6.0,Louth
449,Persons Killed,2018,Number,7.0,Meath
450,Persons Killed,2018,Number,2.0,Offaly
451,Persons Killed,2018,Number,5.0,Westmeath
452,Persons Killed,2018,Number,3.0,Wexford
453,Persons Killed,2018,Number,5.0,Wicklow
454,Persons Killed,2018,Number,6.0,Clare
455,Persons Killed,2018,Number,15.0,Cork
456,Persons Killed,2018,Number,3.0,Kerry
457,Persons Killed,2018,Number,9.0,Limerick
458,Persons Killed,2018,Number,10.0,Tipperary
459,Persons Killed,2018,Number,3.0,Waterford
460,Persons Killed,2018,Number,7.0,Galway
461,Persons Killed,2018,Number,1.0,Leitrim
462,Persons Killed,2018,Number,9.0,Mayo
463,Persons Killed,2018,Number,2.0,Roscommon
464,Persons Killed,2018,Number,1.0,Sligo
465,Persons Killed,2018,Number,3.0,Cavan
466,Persons Killed,2018,Number,10.0,Donegal
467,Persons Killed,2018,Number,2.0,Monaghan
468,Persons Killed,2019,Number,2.0,Carlow
469,Persons Killed,2019,Number,19.0,Dublin
470,Persons Killed,2019,Number,4.0,Kildare
471,Persons Killed,2019,Number,6.0,Kilkenny
472,Persons Killed,2019,Number,1.0,Laois
473,Persons Killed,2019,Number,1.0,Longford
474,Persons Killed,2019,Number,4.0,Louth
475,Persons Killed,2019,Number,7.0,Meath
476,Persons Killed,2019,Number,5.0,Offaly
477,Persons Killed,2019,Number,3.0,Westmeath
478,Persons Killed,2019,Number,7.0,Wexford
479,Persons Killed,2019,Number,3.0,Wicklow
480,Persons Killed,2019,Number,5.0,Clare
481,Persons Killed,2019,Number,14.0,Cork
482,Persons Killed,2019,Number,6.0,Kerry
483,Persons Killed,2019,Number,9.0,Limerick
484,Persons Killed,2019,Number,13.0,Tipperary
485,Persons Killed,2019,Number,3.0,Waterford
486,Persons Killed,2019,Number,7.0,Galway
487,Persons Killed,2019,Number,1.0,Leitrim
488,Persons Killed,2019,Number,3.0,Mayo
489,Persons Killed,2019,Number,3.0,Roscommon
490,Persons Killed,2019,Number,1.0,Sligo
491,Persons Killed,2019,Number,3.0,Cavan
492,Persons Killed,2019,Number,8.0,Donegal
493,Persons Killed,2019,Number,2.0,Monaghan
494,Persons Killed,2020,Number,3.0,Carlow
495,Persons Killed,2020,Number,20.0,Dublin
496,Persons Killed,2020,Number,4.0,Kildare
497,Persons Killed,2020,Number,5.0,Kilkenny
498,Persons Killed,2020,Number,0.0,Laois
499,Persons Killed,2020,Number,0.0,Longford
500,Persons Killed,2020,Number,9.0,Louth
501,Persons Killed,2020,Number,8.0,Meath
502,Persons Killed,2020,Number,4.0,Offaly
503,Persons Killed,2020,Number,4.0,Westmeath
504,Persons Killed,2020,Number,7.0,Wexford
505,Persons Killed,2020,Number,2.0,Wicklow
506,Persons Killed,2020,Number,3.0,Clare
507,Persons Killed,2020,Number,22.0,Cork
508,Persons Killed,2020,Number,9.0,Kerry
509,Persons Killed,2020,Number,5.0,Limerick
510,Persons Killed,2020,Number,7.0,Tipperary
511,Persons Killed,2020,Number,2.0,Waterford
512,Persons Killed,2020,Number,5.0,Galway
513,Persons Killed,2020,Number,1.0,Leitrim
514,Persons Killed,2020,Number,5.0,Mayo
515,Persons Killed,2020,Number,5.0,Roscommon
516,Persons Killed,2020,Number,2.0,Sligo
517,Persons Killed,2020,Number,2.0,Cavan
518,Persons Killed,2020,Number,10.0,Donegal
519,Persons Killed,2020,Number,3.0,Monaghan
520,Persons Injured,2001,Number,131.0,Carlow
521,Persons Injured,2001,Number,2707.0,Dublin
522,Persons Injured,2001,Number,349.0,Kildare
523,Persons Injured,2001,Number,220.0,Kilkenny
524,Persons Injured,2001,Number,196.0,Laois
525,Persons Injured,2001,Number,122.0,Longford
526,Persons Injured,2001,Number,303.0,Louth
527,Persons Injured,2001,Number,416.0,Meath
528,Persons Injured,2001,Number,120.0,Offaly
529,Persons Injured,2001,Number,226.0,Westmeath
530,Persons Injured,2001,Number,364.0,Wexford
531,Persons Injured,2001,Number,302.0,Wicklow
532,Persons Injured,2001,Number,166.0,Clare
533,Persons Injured,2001,Number,1114.0,Cork
534,Persons Injured,2001,Number,399.0,Kerry
535,Persons Injured,2001,Number,484.0,Limerick
536,Persons Injured,2001,Number,340.0,Tipperary
537,Persons Injured,2001,Number,323.0,Waterford
538,Persons Injured,2001,Number,477.0,Galway
539,Persons Injured,2001,Number,103.0,Leitrim
540,Persons Injured,2001,Number,289.0,Mayo
541,Persons Injured,2001,Number,135.0,Roscommon
542,Persons Injured,2001,Number,117.0,Sligo
543,Persons Injured,2001,Number,232.0,Cavan
544,Persons Injured,2001,Number,431.0,Donegal
545,Persons Injured,2001,Number,156.0,Monaghan
546,Persons Injured,2002,Number,114.0,Carlow
547,Persons Injured,2002,Number,2113.0,Dublin
548,Persons Injured,2002,Number,416.0,Kildare
549,Persons Injured,2002,Number,237.0,Kilkenny
550,Persons Injured,2002,Number,133.0,Laois
551,Persons Injured,2002,Number,140.0,Longford
552,Persons Injured,2002,Number,337.0,Louth
553,Persons Injured,2002,Number,399.0,Meath
554,Persons Injured,2002,Number,121.0,Offaly
555,Persons Injured,2002,Number,199.0,Westmeath
556,Persons Injured,2002,Number,351.0,Wexford
557,Persons Injured,2002,Number,264.0,Wicklow
558,Persons Injured,2002,Number,189.0,Clare
559,Persons Injured,2002,Number,1054.0,Cork
560,Persons Injured,2002,Number,255.0,Kerry
561,Persons Injured,2002,Number,520.0,Limerick
562,Persons Injured,2002,Number,284.0,Tipperary
563,Persons Injured,2002,Number,254.0,Waterford
564,Persons Injured,2002,Number,466.0,Galway
565,Persons Injured,2002,Number,58.0,Leitrim
566,Persons Injured,2002,Number,264.0,Mayo
567,Persons Injured,2002,Number,177.0,Roscommon
568,Persons Injured,2002,Number,131.0,Sligo
569,Persons Injured,2002,Number,214.0,Cavan
570,Persons Injured,2002,Number,360.0,Donegal
571,Persons Injured,2002,Number,156.0,Monaghan
572,Persons Injured,2003,Number,102.0,Carlow
573,Persons Injured,2003,Number,1828.0,Dublin
574,Persons Injured,2003,Number,287.0,Kildare
575,Persons Injured,2003,Number,146.0,Kilkenny
576,Persons Injured,2003,Number,132.0,Laois
577,Persons Injured,2003,Number,102.0,Longford
