,Statistic,Year,Age Group,Sex,Road User Type,UNIT,VALUE
2511,Killed Casualties,2017,All ages,Female,Other road users,Number,0
2705,Killed Casualties,2018,All ages,Male,Pedestrians,Number,29
2706,Killed Casualties,2018,All ages,Male,Pedal cyclists,Number,9
2707,Killed Casualties,2018,All ages,Male,Motor cyclists,Number,15
2708,Killed Casualties,2018,All ages,Male,All Car users,Number,47
2709,Killed Casualties,2018,All ages,Male,Car drivers,Number,37
2710,Killed Casualties,2018,All ages,Male,Car passengers,Number,10
2711,Killed Casualties,2018,All ages,Male,Other road users,Number,9
2713,Killed Casualties,2018,All ages,Female,Pedestrians,Number,13
2714,Killed Casualties,2018,All ages,Female,Pedal cyclists,Number,0
2715,Killed Casualties,2018,All ages,Female,Motor cyclists,Number,0
2716,Killed Casualties,2018,All ages,Female,All Car users,Number,14
2717,Killed Casualties,2018,All ages,Female,Car drivers,Number,8
2718,Killed Casualties,2018,All ages,Female,Car passengers,Number,6
2719,Killed Casualties,2018,All ages,Female,Other road users,Number,3
2913,Killed Casualties,2019,All ages,Male,Pedestrians,Number,20
2914,Killed Casualties,2019,All ages,Male,Pedal cyclists,Number,6
2915,Killed Casualties,2019,All ages,Male,Motor cyclists,Number,16
2916,Killed Casualties,2019,All ages,Male,All Car users,Number,55
2917,Killed Casualties,2019,All ages,Male,Car drivers,Number,45
2918,Killed Casualties,2019,All ages,Male,Car passengers,Number,10
2919,Killed Casualties,2019,All ages,Male,Other road users,Number,8
2921,Killed Casualties,2019,All ages,Female,Pedestrians,Number,7
2922,Killed Casualties,2019,All ages,Female,Pedal cyclists,Number,2
2923,Killed Casualties,2019,All ages,Female,Motor cyclists,Number,0
2924,Killed Casualties,2019,All ages,Female,All Car users,Number,26
2925,Killed Casualties,2019,All ages,Female,Car drivers,Number,21
2926,Killed Casualties,2019,All ages,Female,Car passengers,Number,5
2927,Killed Casualties,2019,All ages,Female,Other road users,Number,0
3121,Injured Cassualties,2005,All ages,Male,Pedestrians,Number,512
3122,Injured Cassualties,2005,All ages,Male,Pedal cyclists,Number,145
3123,Injured Cassualties,2005,All ages,Male,Motor cyclists,Number,443
3124,Injured Cassualties,2005,All ages,Male,All Car users,Number,2843
3125,Injured Cassualties,2005,All ages,Male,Car drivers,Number,1977
3126,Injured Cassualties,2005,All ages,Male,Car passengers,Number,866
3127,Injured Cassualties,2005,All ages,Male,Other road users,Number,745
3129,Injured Cassualties,2005,All ages,Female,Pedestrians,Number,398
3130,Injured Cassualties,2005,All ages,Female,Pedal cyclists,Number,43
3131,Injured Cassualties,2005,All ages,Female,Motor cyclists,Number,43
3132,Injured Cassualties,2005,All ages,Female,All Car users,Number,2502
3133,Injured Cassualties,2005,All ages,Female,Car drivers,Number,1549
3134,Injured Cassualties,2005,All ages,Female,Car passengers,Number,953
3135,Injured Cassualties,2005,All ages,Female,Other road users,Number,145
3329,Injured Cassualties,2006,All ages,Male,Pedestrians,Number,492
3330,Injured Cassualties,2006,All ages,Male,Pedal cyclists,Number,147
3331,Injured Cassualties,2006,All ages,Male,Motor cyclists,Number,420
3332,Injured Cassualties,2006,All ages,Male,All Car users,Number,2674
3333,Injured Cassualties,2006,All ages,Male,Car drivers,Number,1888
3334,Injured Cassualties,2006,All ages,Male,Car passengers,Number,786
3335,Injured Cassualties,2006,All ages,Male,Other road users,Number,733
3337,Injured Cassualties,2006,All ages,Female,Pedestrians,Number,384
3338,Injured Cassualties,2006,All ages,Female,Pedal cyclists,Number,42
3339,Injured Cassualties,2006,All ages,Female,Motor cyclists,Number,43
3340,Injured Cassualties,2006,All ages,Female,All Car users,Number,2646
3341,Injured Cassualties,2006,All ages,Female,Car drivers,Number,1640
3342,Injured Cassualties,2006,All ages,Female,Car passengers,Number,1006
3343,Injured Cassualties,2006,All ages,Female,Other road users,Number,153
3537,Injured Cassualties,2007,All ages,Male,Pedestrians,Number,487
3538,Injured Cassualties,2007,All ages,Male,Pedal cyclists,Number,187
3539,Injured Cassualties,2007,All ages,Male,Motor cyclists,Number,329
3540,Injured Cassualties,2007,All ages,Male,All Car users,Number,2508
3541,Injured Cassualties,2007,All ages,Male,Car drivers,Number,1712
3542,Injured Cassualties,2007,All ages,Male,Car passengers,Number,796
3543,Injured Cassualties,2007,All ages,Male,Other road users,Number,613
3545,Injured Cassualties,2007,All ages,Female,Pedestrians,Number,362
3546,Injured Cassualties,2007,All ages,Female,Pedal cyclists,Number,59
3547,Injured Cassualties,2007,All ages,Female,Motor cyclists,Number,28
3548,Injured Cassualties,2007,All ages,Female,All Car users,Number,2597
3549,Injured Cassualties,2007,All ages,Female,Car drivers,Number,1531
3550,Injured Cassualties,2007,All ages,Female,Car passengers,Number,1066
3551,Injured Cassualties,2007,All ages,Female,Other road users,Number,111
3745,Injured Cassualties,2008,All ages,Male,Pedestrians,Number,612
3746,Injured Cassualties,2008,All ages,Male,Pedal cyclists,Number,238
3747,Injured Cassualties,2008,All ages,Male,Motor cyclists,Number,432
3748,Injured Cassualties,2008,All ages,Male,All Car users,Number,3320
3749,Injured Cassualties,2008,All ages,Male,Car drivers,Number,2190
3750,Injured Cassualties,2008,All ages,Male,Car passengers,Number,1130
3751,Injured Cassualties,2008,All ages,Male,Other road users,Number,634
3753,Injured Cassualties,2008,All ages,Female,Pedestrians,Number,480
3754,Injured Cassualties,2008,All ages,Female,Pedal cyclists,Number,81
3755,Injured Cassualties,2008,All ages,Female,Motor cyclists,Number,36
3756,Injured Cassualties,2008,All ages,Female,All Car users,Number,3186
3757,Injured Cassualties,2008,All ages,Female,Car drivers,Number,1865
3758,Injured Cassualties,2008,All ages,Female,Car passengers,Number,1321
3759,Injured Cassualties,2008,All ages,Female,Other road users,Number,125
3953,Injured Cassualties,2009,All ages,Male,Pedestrians,Number,592
3954,Injured Cassualties,2009,All ages,Male,Pedal cyclists,Number,277
3955,Injured Cassualties,2009,All ages,Male,Motor cyclists,Number,391
3956,Injured Cassualties,2009,All ages,Male,All Car users,Number,3420
3957,Injured Cassualties,2009,All ages,Male,Car drivers,Number,2155
3958,Injured Cassualties,2009,All ages,Male,Car passengers,Number,1265
3959,Injured Cassualties,2009,All ages,Male,Other road users,Number,562
3961,Injured Cassualties,2009,All ages,Female,Pedestrians,Number,461
3962,Injured Cassualties,2009,All ages,Female,Pedal cyclists,Number,77
3963,Injured Cassualties,2009,All ages,Female,Motor cyclists,Number,29
3964,Injured Cassualties,2009,All ages,Female,All Car users,Number,3280
3965,Injured Cassualties,2009,All ages,Female,Car drivers,Number,1909
3966,Injured Cassualties,2009,All ages,Female,Car passengers,Number,1371
3967,Injured Cassualties,2009,All ages,Female,Other road users,Number,115
4161,Injured Cassualties,2010,All ages,Male,Pedestrians,Number,512
4162,Injured Cassualties,2010,All ages,Male,Pedal cyclists,Number,287
4163,Injured Cassualties,2010,All ages,Male,Motor cyclists,Number,344
4164,Injured Cassualties,2010,All ages,Male,All Car users,Number,2713
4165,Injured Cassualties,2010,All ages,Male,Car drivers,Number,1702
4166,Injured Cassualties,2010,All ages,Male,Car passengers,Number,1011
4167,Injured Cassualties,2010,All ages,Male,Other road users,Number,554
4169,Injured Cassualties,2010,All ages,Female,Pedestrians,Number,394
4170,Injured Cassualties,2010,All ages,Female,Pedal cyclists,Number,94
4171,Injured Cassualties,2010,All ages,Female,Motor cyclists,Number,27
4172,Injured Cassualties,2010,All ages,Female,All Car users,Number,2801
4173,Injured Cassualties,2010,All ages,Female,Car drivers,Number,1639
4174,Injured Cassualties,2010,All ages,Female,Car passengers,Number,1162
4175,Injured Cassualties,2010,All ages,Female,Other road users,Number,124
4369,Injured Cassualties,2011,All ages,Male,Pedestrians,Number,534
4370,Injured Cassualties,2011,All ages,Male,Pedal cyclists,Number,289
4371,Injured Cassualties,2011,All ages,Male,Motor cyclists,Number,279
4372,Injured Cassualties,2011,All ages,Male,All Car users,Number,2356
4373,Injured Cassualties,2011,All ages,Male,Car drivers,Number,1481
4374,Injured Cassualties,2011,All ages,Male,Car passengers,Number,875
4375,Injured Cassualties,2011,All ages,Male,Other road users,Number,511
4377,Injured Cassualties,2011,All ages,Female,Pedestrians,Number,383
4378,Injured Cassualties,2011,All ages,Female,Pedal cyclists,Number,89
4379,Injured Cassualties,2011,All ages,Female,Motor cyclists,Number,32
4380,Injured Cassualties,2011,All ages,Female,All Car users,Number,2323
4381,Injured Cassualties,2011,All ages,Female,Car drivers,Number,1365
4382,Injured Cassualties,2011,All ages,Female,Car passengers,Number,958
4383,Injured Cassualties,2011,All ages,Female,Other road users,Number,109
4577,Injured Cassualties,2012,All ages,Male,Pedestrians,Number,572
4578,Injured Cassualties,2012,All ages,Male,Pedal cyclists,Number,455
4579,Injured Cassualties,2012,All ages,Male,Motor cyclists,Number,300
4580,Injured Cassualties,2012,All ages,Male,All Car users,Number,2654
4581,Injured Cassualties,2012,All ages,Male,Car drivers,Number,1640
4582,Injured Cassualties,2012,All ages,Male,Car passengers,Number,1014
4583,Injured Cassualties,2012,All ages,Male,Other road users,Number,444
4585,Injured Cassualties,2012,All ages,Female,Pedestrians,Number,424
4586,Injured Cassualties,2012,All ages,Female,Pedal cyclists,Number,158
4587,Injured Cassualties,2012,All ages,Female,Motor cyclists,Number,29
4588,Injured Cassualties,2012,All ages,Female,All Car users,Number,2540
4589,Injured Cassualties,2012,All ages,Female,Car drivers,Number,1508
4590,Injured Cassualties,2012,All ages,Female,Car passengers,Number,1032
4591,Injured Cassualties,2012,All ages,Female,Other road users,Number,99
4785,Injured Cassualties,2013,All ages,Male,Pedestrians,Number,499
4786,Injured Cassualties,2013,All ages,Male,Pedal cyclists,Number,468
4787,Injured Cassualties,2013,All ages,Male,Motor cyclists,Number,244
4788,Injured Cassualties,2013,All ages,Male,All Car users,Number,2194
4789,Injured Cassualties,2013,All ages,Male,Car drivers,Number,1353
4790,Injured Cassualties,2013,All ages,Male,Car passengers,Number,841
4791,Injured Cassualties,2013,All ages,Male,Other road users,Number,411
4793,Injured Cassualties,2013,All ages,Female,Pedestrians,Number,381
4794,Injured Cassualties,2013,All ages,Female,Pedal cyclists,Number,144
4795,Injured Cassualties,2013,All ages,Female,Motor cyclists,Number,18
4796,Injured Cassualties,2013,All ages,Female,All Car users,Number,2165
4797,Injured Cassualties,2013,All ages,Female,Car drivers,Number,1295
4798,Injured Cassualties,2013,All ages,Female,Car passengers,Number,870
4799,Injured Cassualties,2013,All ages,Female,Other road users,Number,95
4993,Injured Cassualties,2014,All ages,Male,Pedestrians,Number,604
4994,Injured Cassualties,2014,All ages,Male,Pedal cyclists,Number,655
4995,Injured Cassualties,2014,All ages,Male,Motor cyclists,Number,262
4996,Injured Cassualties,2014,All ages,Male,All Car users,Number,2511
4997,Injured Cassualties,2014,All ages,Male,Car drivers,Number,1617
4998,Injured Cassualties,2014,All ages,Male,Car passengers,Number,894
4999,Injured Cassualties,2014,All ages,Male,Other road users,Number,480
5001,Injured Cassualties,2014,All ages,Female,Pedestrians,Number,455
5002,Injured Cassualties,2014,All ages,Female,Pedal cyclists,Number,195
5003,Injured Cassualties,2014,All ages,Female,Motor cyclists,Number,27
5004,Injured Cassualties,2014,All ages,Female,All Car users,Number,2624
5005,Injured Cassualties,2014,All ages,Female,Car drivers,Number,1485
5006,Injured Cassualties,2014,All ages,Female,Car passengers,Number,1139
5007,Injured Cassualties,2014,All ages,Female,Other road users,Number,88
5201,Injured Cassualties,2015,All ages,Male,Pedestrians,Number,557
5202,Injured Cassualties,2015,All ages,Male,Pedal cyclists,Number,692
5203,Injured Cassualties,2015,All ages,Male,Motor cyclists,Number,300
5204,Injured Cassualties,2015,All ages,Male,All Car users,Number,2362
5205,Injured Cassualties,2015,All ages,Male,Car drivers,Number,1555
5206,Injured Cassualties,2015,All ages,Male,Car passengers,Number,807
5207,Injured Cassualties,2015,All ages,Male,Other road users,Number,464
5209,Injured Cassualties,2015,All ages,Female,Pedestrians,Number,475
5210,Injured Cassualties,2015,All ages,Female,Pedal cyclists,Number,228
5211,Injured Cassualties,2015,All ages,Female,Motor cyclists,Number,31
5212,Injured Cassualties,2015,All ages,Female,All Car users,Number,2456
5213,Injured Cassualties,2015,All ages,Female,Car drivers,Number,1480
5214,Injured Cassualties,2015,All ages,Female,Car passengers,Number,976
5215,Injured Cassualties,2015,All ages,Female,Other road users,Number,105
5409,Injured Cassualties,2016,All ages,Male,Pedestrians,Number,540
5410,Injured Cassualties,2016,All ages,Male,Pedal cyclists,Number,693
5411,Injured Cassualties,2016,All ages,Male,Motor cyclists,Number,333
5412,Injured Cassualties,2016,All ages,Male,All Car users,Number,2277
5413,Injured Cassualties,2016,All ages,Male,Car drivers,Number,1551
5414,Injured Cassualties,2016,All ages,Male,Car passengers,Number,726
5415,Injured Cassualties,2016,All ages,Male,Other road users,Number,501
5417,Injured Cassualties,2016,All ages,Female,Pedestrians,Number,481
5418,Injured Cassualties,2016,All ages,Female,Pedal cyclists,Number,253
5419,Injured Cassualties,2016,All ages,Female,Motor cyclists,Number,31
5420,Injured Cassualties,2016,All ages,Female,All Car users,Number,2387
5421,Injured Cassualties,2016,All ages,Female,Car drivers,Number,1484
5422,Injured Cassualties,2016,All ages,Female,Car passengers,Number,903
5423,Injured Cassualties,2016,All ages,Female,Other road users,Number,86
5617,Injured Cassualties,2017,All ages,Male,Pedestrians,Number,630
5618,Injured Cassualties,2017,All ages,Male,Pedal cyclists,Number,783
5619,Injured Cassualties,2017,All ages,Male,Motor cyclists,Number,323
5620,Injured Cassualties,2017,All ages,Male,All Car users,Number,2285
5621,Injured Cassualties,2017,All ages,Male,Car drivers,Number,1603
5622,Injured Cassualties,2017,All ages,Male,Car passengers,Number,682
5623,Injured Cassualties,2017,All ages,Male,Other road users,Number,455
5625,Injured Cassualties,2017,All ages,Female,Pedestrians,Number,498
5626,Injured Cassualties,2017,All ages,Female,Pedal cyclists,Number,275
5627,Injured Cassualties,2017,All ages,Female,Motor cyclists,Number,31
5628,Injured Cassualties,2017,All ages,Female,All Car users,Number,2387
5629,Injured Cassualties,2017,All ages,Female,Car drivers,Number,1495
5630,Injured Cassualties,2017,All ages,Female,Car passengers,Number,892
5631,Injured Cassualties,2017,All ages,Female,Other road users,Number,92
5825,Injured Cassualties,2018,All ages,Male,Pedestrians,Number,587
5826,Injured Cassualties,2018,All ages,Male,Pedal cyclists,Number,802
5827,Injured Cassualties,2018,All ages,Male,Motor cyclists,Number,426
5828,Injured Cassualties,2018,All ages,Male,All Car users,Number,2234
5829,Injured Cassualties,2018,All ages,Male,Car drivers,Number,1603
5830,Injured Cassualties,2018,All ages,Male,Car passengers,Number,631
5831,Injured Cassualties,2018,All ages,Male,Other road users,Number,532
5833,Injured Cassualties,2018,All ages,Female,Pedestrians,Number,510
5834,Injured Cassualties,2018,All ages,Female,Pedal cyclists,Number,261
5835,Injured Cassualties,2018,All ages,Female,Motor cyclists,Number,41
5836,Injured Cassualties,2018,All ages,Female,All Car users,Number,2438
5837,Injured Cassualties,2018,All ages,Female,Car drivers,Number,1523
5838,Injured Cassualties,2018,All ages,Female,Car passengers,Number,915
5839,Injured Cassualties,2018,All ages,Female,Other road users,Number,135
6033,Injured Cassualties,2019,All ages,Male,Pedestrians,Number,567
6034,Injured Cassualties,2019,All ages,Male,Pedal cyclists,Number,873
6035,Injured Cassualties,2019,All ages,Male,Motor cyclists,Number,403
6036,Injured Cassualties,2019,All ages,Male,All Car users,Number,2097
6037,Injured Cassualties,2019,All ages,Male,Car drivers,Number,1474
6038,Injured Cassualties,2019,All ages,Male,Car passengers,Number,623
6039,Injured Cassualties,2019,All ages,Male,Other road users,Number,490
6041,Injured Cassualties,2019,All ages,Female,Pedestrians,Number,513
6042,Injured Cassualties,2019,All ages,Female,Pedal cyclists,Number,252
6043,Injured Cassualties,2019,All ages,Female,Motor cyclists,Number,44
6044,Injured Cassualties,2019,All ages,Female,All Car users,Number,2177
6045,Injured Cassualties,2019,All ages,Female,Car drivers,Number,1352
6046,Injured Cassualties,2019,All ages,Female,Car passengers,Number,825
