,Statistic,Year,UNIT,VALUE,County_name,per_10k,per_10k_vehicles,per_1b_km_travelled,avg_per_1k_km_travelled
102,Persons Killed,2004,Number,29.0,Donegal,2.0398258410764654,3.5154071811283245,18.727801097836615,1.544483796234655
103,Persons Killed,2004,Number,16.0,Monaghan,2.946918628209379,4.892342973627213,24.723152201905744,0.8084482845737961
104,Persons Killed,2005,Number,9.0,Carlow,1.828413546512809,2.5821629918661864,14.285714285714285,0.49813660012545663
105,Persons Killed,2005,Number,41.0,Dublin,0.3501185279309191,0.68190341974565,4.556061784642738,2.7397565403334485
106,Persons Killed,2005,Number,14.0,Kildare,0.7745504840940525,1.263425778999758,7.036354498240911,0.779705382751803
107,Persons Killed,2005,Number,6.0,Kilkenny,0.6995208282326606,1.0911736178467508,6.046355391333558,0.3325696548666026
108,Persons Killed,2005,Number,14.0,Laois,2.1557697637892272,3.479024382162545,18.111254851228978,0.7288187063467961
109,Persons Killed,2005,Number,9.0,Longford,2.6824034334763946,4.316615773233784,22.040816326530614,0.45954318003880584
110,Persons Killed,2005,Number,14.0,Louth,1.2888852063597278,2.5017050311075106,13.9234211834908,0.7793509120261267
111,Persons Killed,2005,Number,30.0,Meath,1.9279338333108407,3.0612973778287236,16.357688113413307,1.6036491928299064
112,Persons Killed,2005,Number,8.0,Offaly,1.1614739103922878,1.9431231656714907,10.44841097083152,0.4303118864693806
113,Persons Killed,2005,Number,12.0,Westmeath,1.5472092213669593,2.494042010752092,13.191645291315501,0.6345513193379515
114,Persons Killed,2005,Number,21.0,Wexford,1.64130460268705,2.4029613638140717,13.093629845162631,1.1448717016791452
115,Persons Killed,2005,Number,8.0,Wicklow,0.648692479221569,1.0439389556695673,6.1752219220378235,0.47337744948175037
116,Persons Killed,2005,Number,12.0,Clare,1.1004631115594479,1.743991706350552,9.556676400318556,0.6575042235514361
117,Persons Killed,2005,Number,39.0,Cork,0.8244964229539804,1.2939729614949038,7.6114887941970535,2.293982706899594
118,Persons Killed,2005,Number,11.0,Kerry,0.797205432592657,1.2513864793379028,7.184064438881028,0.6317119393556537
119,Persons Killed,2005,Number,17.0,Limerick,0.9344612830703101,1.5997565860567098,8.957583208922456,0.9522742549854358
120,Persons Killed,2005,Number,15.0,Tipperary,1.0214504596527068,1.556226462074761,8.408071748878923,0.4050113403175289
121,Persons Killed,2005,Number,9.0,Waterford,0.846262341325811,1.3764414400636222,8.241758241758243,0.5390674133748615
122,Persons Killed,2005,Number,21.0,Galway,0.9293721427338588,1.5758430760456845,8.529650690495531,1.1368044966933426
123,Persons Killed,2005,Number,8.0,Leitrim,2.8489013924005557,4.4015698932619305,22.977501196744853,0.41754016649414144
124,Persons Killed,2005,Number,14.0,Mayo,1.1466668850794066,1.795596939789787,9.538950715421302,0.7440673912465786
125,Persons Killed,2005,Number,5.0,Roscommon,0.8699434536755112,1.321981915287399,6.705409029950827,0.25354540998292796
126,Persons Killed,2005,Number,11.0,Sligo,1.8275157415560466,3.0357110003127703,16.888433981576252,0.6120178041543027
